name,release date,stockx search,search quality,
Sade Tee,2/16/2017,supreme-Sade-Tee-black,246,
Elephant Tee,2/16/2017,supreme-Elephant-Tee-black,315,
Abstract Tee,2/16/2017,supreme-Abstract-Tee-black,138,
Eternal Tee,2/16/2017,supreme-Eternal-Tee-black,80,
FTP Tee,2/16/2017,supreme-FTP-Tee-black,127,
Automatic Tee,2/16/2017,supreme-Automatic-Tee-black,79,
Joe Roberts Swirl Tee,2/16/2017,supreme-Joe-Roberts-Swirl-Tee-black,120,
Dream Tee,2/16/2017,supreme-Dream-Tee-black,123,
Been Hit L/S Tee,2/16/2017,supreme-Been-Hit-ls-Tee-black,137,
Larry Clark Girl Tee,2/16/2017,supreme-Larry-Clark-Girl-Tee-black,83,
Mirage Tee,6/29/2017,supreme-Mirage-Tee-black,60,
Digi Tee,6/29/2017,supreme-Digi-Tee-black,76,
Punany Train Tee,6/29/2017,supreme-wilfred-limonius-punany-train-tee-black,78,
Super Supreme Tee,6/29/2017,supreme-wilfred-limonius-super-supreme-tee-black,101,
Undercover Lover Tee,6/29/2017,supreme-wilfred-limonius-undercover-lover-tee-black,99,
Orgy Tee,6/29/2017,supreme-Orgy-Tee-black,88,
Go Fuck Yourself Tee,6/29/2017,supreme-go-fuck-yourself-pocket-tee-black,75,
Buy Off The Bar Tee,6/29/2017,supreme-wilfred-limonius-buy-off-the-bar-tee-black,87,
Nas Tee,8/24/2017,supreme-Nas-Tee-black,297,
Crash Tee,8/24/2017,supreme-Crash-Tee-black,175,
Dollar Tee,8/24/2017,supreme-Dollar-Tee-black,154,
DNA Tee,8/24/2017,supreme-DNA-Tee-black,87,
Gonz Heads Tee,8/24/2017,supreme-Gonz-Heads-Tee-black,99,
Fuck With Your Head Tee,8/24/2017,supreme-Fuck-With-Your-Head-Tee-black,113,
Venus Tee,8/24/2017,supreme-Venus-Tee-black,71,
Bloom L/S Tee,8/24/2017,supreme-Bloom-ls-Tee-black,67,
Kiss Tee,8/24/2017,supreme-Kiss-Tee-black,80,
Plant Tee,9/21/2017,supreme-Plant-Tee-black,85,
Friends Tee,9/21/2017,supreme-Friends-Tee-black,95,
Candle Tee,9/21/2017,supreme-Candle-Tee-black,51,
Piss Christ Tee,9/21/2017,supreme-Piss-Christ-Tee-black,98,
Madonna & Child Tee,9/21/2017,supreme-Madonna-Child-Tee-black,65,
