Name,Date,Average,Retail,Search,White sold,White price,Black sold,Black price,Red sold,Red price,Navy sold,Navy price,Grey sold,Grey price
Sade Tee,2/16/2017,170.255102,44,supreme-Sade-Tee-black,19,168,35,202,0,,9,147,16,128
Elephant Tee,2/16/2017,191.9230769,32,supreme-Elephant-Tee-black,2,201,1,283,0,,0,,,
Abstract Tee,2/16/2017,86.94444444,32,supreme-Abstract-Tee-black,6,75,8,106,1,63,2,78,,
Eternal Tee,2/16/2017,44,36,supreme-Eternal-Tee-black,,,3,44,,,,,,
FTP Tee,2/16/2017,92.83333333,32,supreme-FTP-Tee-black,4,114,11,95,1,83,1,29,,
Automatic Tee,2/16/2017,25.52941176,32,supreme-Automatic-Tee-black,1,34,3,46,0,,4,38,0,
Joe Roberts Swirl Tee,2/16/2017,77.5,32,supreme-Joe-Roberts-Swirl-Tee-black,3,113,5,88,3,58,3,51,,
Dream Tee,2/16/2017,60.88888889,44,supreme-Dream-Tee-black,2,29,6,79,,,,,,
Been Hit L/S Tee,2/16/2017,93,44,supreme-Been-Hit-ls-Tee-black,3,93,9,93,0,,,,0,
Larry Clark Girl Tee,2/16/2017,37.81481481,44,supreme-Larry-Clark-Girl-Tee-black,7,46,13,39,0,,0,,4,27
Mirage Tee,6/29/2017,33.3,44,supreme-Mirage-Tee-black,4,29,1,16,0,,1,6,1,46
Digi Tee,6/29/2017,24.88888889,44,supreme-Digi-Tee-black,6,40,4,32,3,22,8,20,4,13
Punany Train Tee,6/29/2017,15.1,48,supreme-wilfred-limonius-punany-train-tee-black,2,7,4,30,1,-8,2,9,,
Super Supreme Tee,6/29/2017,50.33333333,48,supreme-wilfred-limonius-super-supreme-tee-black,1,51,1,53,0,,1,47,,
Undercover Lover Tee,6/29/2017,31.88888889,48,supreme-wilfred-limonius-undercover-lover-tee-black,4,8,5,51,0,,0,,,
Orgy Tee,6/29/2017,27.57894737,44,supreme-Orgy-Tee-black,4,31,5,44,2,9,3,22,4,20
Go Fuck Yourself Tee,6/29/2017,16.72727273,46,supreme-go-fuck-yourself-pocket-tee-black,0,,2,29,,,3,12,2,23
Buy Off The Bar Tee,6/29/2017,30.0625,48,supreme-wilfred-limonius-buy-off-the-bar-tee-black,0,,7,39,3,24,4,28,,
Nas Tee,8/24/2017,207.200495,44,supreme-Nas-Tee-black,119,194,117,253,23,182,,,81,180
