name,release date,stockx search,price
Sade Tee,2/16/2017,Sade-Tee-black,246
Elephant Tee,2/16/2017,Elephant-Tee-black,315
Abstract Tee,2/16/2017,Abstract-Tee-black,138
Eternal Tee,2/16/2017,Eternal-Tee-black,80
FTP Tee,2/16/2017,FTP-Tee-black,127
Automatic Tee,2/16/2017,Automatic-Tee-black,79
Joe Roberts Swirl Tee,2/16/2017,Joe-Roberts-Swirl-Tee-black,120
Dream Tee,2/16/2017,Dream-Tee-black,73
Been Hit L/S Tee,2/16/2017,Been-Hit-ls-Tee-black,137
Larry Clark Girl Tee,2/16/2017,Larry-Clark-Girl-Tee-black,83
Mirage Tee,6/29/2017,Mirage-Tee-black,60
Digi Tee,6/29/2017,Digi-Tee-black,76
Punany Train Tee,6/29/2017,Punany-Train-Tee-black,78
Super Supreme Tee,6/29/2017,Super-Supreme-Tee-black,96
Undercover Lover Tee,6/29/2017,Undercover-Lover-Tee-black,99
Orgy Tee,6/29/2017,Orgy-Tee-black,88
Go Fuck Yourself Tee,6/29/2017,Go-Fuck-Yourself-Tee-black,Bad search
Buy Off The Bar Tee,6/29/2017,Buy-Off-The-Bar-Tee-black,87
Know Your Rights Tee,6/29/2017,Know-Your-Rights-Tee-black,
Nas Tee,8/17/2017,Nas-Tee-black,297
Crash Tee,8/17/2017,Crash-Tee-black,176
Dollar Tee,8/17/2017,Dollar-Tee-black,154
DNA Tee,8/17/2017,DNA-Tee-black,87
Heart Tee,8/17/2017,Heart-Tee-black,212
Gonz Heads Tee,8/17/2017,Gonz-Heads-Tee-black,99
Fuck With Your Head Tee,8/17/2017,Fuck-With-Your-Head-Tee-black,91
Venus Tee,8/17/2017,Venus-Tee-black,71
Bloom L/S Tee,8/17/2017,Bloom-ls-Tee-black,67
Kiss Tee,8/17/2017,Kiss-Tee-black,80
Nas Tee,8/24/2017,Nas-Tee-black,297
Crash Tee,8/24/2017,Crash-Tee-black,176
Dollar Tee,8/24/2017,Dollar-Tee-black,154
DNA Tee,8/24/2017,DNA-Tee-black,87
Heart Tee,8/24/2017,Heart-Tee-black,212
Gonz Heads Tee,8/24/2017,Gonz-Heads-Tee-black,99
Fuck With Your Head Tee,8/24/2017,Fuck-With-Your-Head-Tee-black,91
Venus Tee,8/24/2017,Venus-Tee-black,71
Bloom L/S Tee,8/24/2017,Bloom-ls-Tee-black,67
Kiss Tee,8/24/2017,Kiss-Tee-black,80
Plant Tee,9/21/2017,Plant-Tee-black,85
Friends Tee,9/21/2017,Friends-Tee-black,216
Candle Tee,9/21/2017,Candle-Tee-black,51
Piss Christ Tee,9/21/2017,Piss-Christ-Tee-black,98
Madonna & Child Tee,9/21/2017,Madonna--Child-Tee-black,65
Decline of Western Civilization Tee,9/21/2017,Decline-of-Western-Civilization-Tee-black,47
Scarface™ Split Tee,10/12/2017,Scarface-Split-Tee-black,267
Scarface™ Blimp Tee,10/12/2017,Scarface-Blimp-Tee-black,208
Scarface™ Friend Tee,10/12/2017,Scarface-Friend-Tee-black,167
Scarface™ Shower Tee,10/12/2017,Scarface-Shower-Tee-black,144
AKIRA/Supreme Pill Tee,11/2/2017,AKIRA-Supreme-Pill-Tee-black,253
AKIRA/Supreme Arm Tee,11/2/2017,AKIRA-Supreme-Arm-Tee-black,227
AKIRA/Supreme Yamagata Tee,11/2/2017,AKIRA-Supreme-Yamagata-Tee-black,167
AKIRA/Supreme Syringe Tee,11/2/2017,AKIRA-Supreme-Syringe-Tee-black,150
Supreme®/Independent® Old English Tee,11/16/2017,Supreme-Independent-Old-English-Tee-black,80
Supreme®/The North Face® Mountain Tee,11/30/2017,Supreme-The-North-Face-Mountain-Tee-black,Bad search
Arabic Logo L/S Tee,12/14/2017,Arabic-Logo-ls-Tee-black,199
Gonz Tee,12/14/2017,Gonz-Tee-black,125
Fire Tee,12/14/2017,Fire-Tee-black,133
Bookends (Set of 2),12/14/2017,Bookends-(Set-of-2)-black,Bad search
Fuck Wool Scarf,12/14/2017,Fuck-Wool-Scarf-black,93
Christmas Tee,12/14/2017,Christmas-Tee-black,106
Horror Tee,12/14/2017,Horror-Tee-black,128
Dog Shit Tee,12/14/2017,Dog-Shit-Tee-black,73
FTW Tee,2/15/2018,FTW-Tee-black,124
Cards Tee,2/15/2018,Cards-Tee-black,91
Chicken Dinner Tee,2/15/2018,Chicken-Dinner-Tee-black,117
Necklace Tee,2/15/2018,Necklace-Tee-black,153
Jellyfish Tee,2/15/2018,Jellyfish-Tee-black,98
