name,release date,stockx search,search quality
Creeper Tee,2019-02-21,supreme-Creeper-Tee-black,96
Christopher Walken King Of New York Tee,2019-02-21,supreme-Christopher-Walken-King-Of-New-York-Tee-black,Bad search
The Real Shit L/S Tee,2019-02-21,supreme-The-Real-Shit-ls-Tee-black,Bad search
Knot Tee,2019-02-21,supreme-Knot-Tee-black,54
Fruit Tee,2019-02-21,supreme-Fruit-Tee-black,66
Kids Tee,2019-02-21,supreme-Kids-Tee-black,79
Fronts Tee,2019-02-21,supreme-Fronts-Tee-black,65
Hard Goods Tee,2019-02-21,supreme-Hard-Goods-Tee-black,79
Leda And The Swan Tee,2019-02-21,supreme-Leda-And-The-Swan-Tee-black,57
Original Sin Tee,2019-02-21,supreme-Original-Sin-Tee-black,64
Middle Finger To The World Tee,2019-02-21,supreme-Middle-Finger-To-The-World-Tee-black,49
Creeper Tee,2019-02-25,supreme-Creeper-Tee-black,96
Christopher Walken King Of New York Tee,2019-02-25,supreme-Christopher-Walken-King-Of-New-York-Tee-black,Bad search
The Real Shit L/S Tee,2019-02-25,supreme-The-Real-Shit-ls-Tee-black,Bad search
Knot Tee,2019-02-25,supreme-Knot-Tee-black,54
Fruit Tee,2019-02-25,supreme-Fruit-Tee-black,66
Kids Tee,2019-02-25,supreme-Kids-Tee-black,79
Fronts Tee,2019-02-25,supreme-Fronts-Tee-black,65
Hard Goods Tee,2019-02-25,supreme-Hard-Goods-Tee-black,79
Leda And The Swan Tee,2019-02-25,supreme-Leda-And-The-Swan-Tee-black,57
Original Sin Tee,2019-02-25,supreme-Original-Sin-Tee-black,64
Middle Finger To The World Tee,2019-02-25,supreme-Middle-Finger-To-The-World-Tee-black,49
Gilbert & George/Supreme LIFE Tee,2019-03-21,supreme-Gilbert-George-LIFE-Tee-black,Bad search
Gilbert & George/Supreme DEATH Tee,2019-03-21,supreme-Gilbert-George-DEATH-Tee-black,Bad search
Cupid Tee,2019-04-04,supreme-Cupid-Tee-black,141
Who The Fuck Tee,2019-04-04,supreme-Who-The-Fuck-Tee-black,65
Ghost Rider© Tee,2019-04-04,supreme-Ghost-Rider©-Tee-black,Bad search
Riders Tee,2019-04-04,supreme-Riders-Tee-black,61
The Persistence of Memory Tee,2019-04-04,supreme-The-Persistence-of-Memory-Tee-black,67
Molotov Kid Tee,2019-04-04,supreme-Molotov-Kid-Tee-black,62
Suzie Switchblade Tee,2019-04-04,supreme-Suzie-Switchblade-Tee-black,60
Keyboard Tee,2019-04-04,supreme-Keyboard-Tee-black,53
Headline Tee,2019-04-04,supreme-Headline-Tee-black,56
Supreme®/Jean Paul Gaultier® Tee,2019-04-11,supreme--Jean-Paul-Gaultier-Tee-black,Bad search
Supreme®/Swarovski® Box Logo Tee,2019-04-25,supreme--Swarovski-Box-Logo-Tee-black,Bad search
Buju Banton Tee,2019-06-27,supreme-Buju-Banton-Tee-black,135
Dynamite Tee,2019-06-27,supreme-Dynamite-Tee-black,75
Reaper Tee,2019-06-27,supreme-Reaper-Tee-black,75
Buju Banton Wake The World Tee,2019-06-27,supreme-Buju-Banton-Wake-The-World-Tee-black,83
Bela Lugosi Tee,2019-06-27,supreme-Bela-Lugosi-Tee-black,61
Greetings Tee,2019-06-27,supreme-Greetings-Tee-black,51
Cloud Tee,2019-06-27,supreme-Cloud-Tee-black,60
It Gets Better Every Time Tee,2019-06-27,supreme-It-Gets-Better-Every-Time-Tee-black,49
Shears Tee,2019-06-27,supreme-Shears-Tee-black,54
Banner Tee,2019-08-22,supreme-Banner-Tee-black,86
Smoke Tee,2019-08-22,supreme-Smoke-Tee-black,82
Mary J. Blige Tee,2019-08-22,supreme-Mary-J-Blige-Tee-black,79
Heaven and Earth Tee,2019-08-22,supreme-Heaven-and-Earth-Tee-black,59
Save The Planet Tee,2019-08-22,supreme-Save-The-Planet-Tee-black,50
New Shit Tee,2019-08-22,supreme-New-Shit-Tee-black,55
