name,release date,stockx search,search quality
Sade Tee,2/16/2017,supreme-Sade-Tee-black,246
Elephant Tee,2/16/2017,supreme-Elephant-Tee-black,315
Abstract Tee,2/16/2017,supreme-Abstract-Tee-black,138
Eternal Tee,2/16/2017,supreme-Eternal-Tee-black,80
FTP Tee,2/16/2017,supreme-FTP-Tee-black,127
Automatic Tee,2/16/2017,supreme-Automatic-Tee-black,79
Joe Roberts Swirl Tee,2/16/2017,supreme-Joe-Roberts-Swirl-Tee-black,120
Dream Tee,2/16/2017,supreme-Dream-Tee-black,123
Been Hit L/S Tee,2/16/2017,supreme-Been-Hit-ls-Tee-black,137
Larry Clark Girl Tee,2/16/2017,supreme-Larry-Clark-Girl-Tee-black,83
Mirage Tee,6/29/2017,supreme-Mirage-Tee-black,60
Digi Tee,6/29/2017,supreme-Digi-Tee-black,76
Punany Train Tee,6/29/2017,supreme-Punany-Train-Tee-black,Bad search
Super Supreme Tee,6/29/2017,supreme-Super-Supreme-Tee-black,Bad search
Undercover Lover Tee,6/29/2017,supreme-Undercover-Lover-Tee-black,Bad search
Orgy Tee,6/29/2017,supreme-Orgy-Tee-black,88
Go Fuck Yourself Tee,6/29/2017,supreme-Go-Fuck-Yourself-Tee-black,Bad search
Buy Off The Bar Tee,6/29/2017,supreme-Buy-Off-The-Bar-Tee-black,Bad search
Know Your Rights Tee,6/29/2017,supreme-Know-Your-Rights-Tee-black,Bad search: zero average
Nas Tee,8/17/2017,supreme-Nas-Tee-black,297
Crash Tee,8/17/2017,supreme-Crash-Tee-black,175
Dollar Tee,8/17/2017,supreme-Dollar-Tee-black,154
DNA Tee,8/17/2017,supreme-DNA-Tee-black,87
Heart Tee,8/17/2017,supreme-Heart-Tee-black,Bad search
Gonz Heads Tee,8/17/2017,supreme-Gonz-Heads-Tee-black,99
Fuck With Your Head Tee,8/17/2017,supreme-Fuck-With-Your-Head-Tee-black,113
Venus Tee,8/17/2017,supreme-Venus-Tee-black,71
Bloom L/S Tee,8/17/2017,supreme-Bloom-ls-Tee-black,67
Kiss Tee,8/17/2017,supreme-Kiss-Tee-black,80
Nas Tee,8/24/2017,supreme-Nas-Tee-black,297
Crash Tee,8/24/2017,supreme-Crash-Tee-black,175
Dollar Tee,8/24/2017,supreme-Dollar-Tee-black,154
DNA Tee,8/24/2017,supreme-DNA-Tee-black,87
Heart Tee,8/24/2017,supreme-Heart-Tee-black,Bad search
Gonz Heads Tee,8/24/2017,supreme-Gonz-Heads-Tee-black,99
Fuck With Your Head Tee,8/24/2017,supreme-Fuck-With-Your-Head-Tee-black,113
Venus Tee,8/24/2017,supreme-Venus-Tee-black,71
Bloom L/S Tee,8/24/2017,supreme-Bloom-ls-Tee-black,67
Kiss Tee,8/24/2017,supreme-Kiss-Tee-black,80
Plant Tee,9/21/2017,supreme-Plant-Tee-black,85
Friends Tee,9/21/2017,supreme-Friends-Tee-black,95
Candle Tee,9/21/2017,supreme-Candle-Tee-black,51
Piss Christ Tee,9/21/2017,supreme-Piss-Christ-Tee-black,98
Madonna & Child Tee,9/21/2017,supreme-Madonna--Child-Tee-black,Bad search
Decline of Western Civilization Tee,9/21/2017,supreme-Decline-of-Western-Civilization-Tee-black,47
Scarface™ Split Tee,10/12/2017,supreme-Scarface-Split-Tee-black,267
Scarface™ Blimp Tee,10/12/2017,supreme-Scarface-Blimp-Tee-black,208
Scarface™ Friend Tee,10/12/2017,supreme-Scarface-Friend-Tee-black,167
Scarface™ Shower Tee,10/12/2017,supreme-Scarface-Shower-Tee-black,144
AKIRA/Supreme Pill Tee,11/2/2017,supreme-AKIRA-Supreme-Pill-Tee-black,Bad search
AKIRA/Supreme Arm Tee,11/2/2017,supreme-AKIRA-Supreme-Arm-Tee-black,Bad search
AKIRA/Supreme Yamagata Tee,11/2/2017,supreme-AKIRA-Supreme-Yamagata-Tee-black,Bad search
AKIRA/Supreme Syringe Tee,11/2/2017,supreme-AKIRA-Supreme-Syringe-Tee-black,Bad search
Supreme®/Independent® Old English Tee,11/16/2017,supreme-Supreme-Independent-Old-English-Tee-black,Bad search
Supreme®/The North Face® Mountain Tee,11/30/2017,supreme-Supreme-The-North-Face-Mountain-Tee-black,Bad search
Arabic Logo L/S Tee,12/14/2017,supreme-Arabic-Logo-ls-Tee-black,201
Gonz Tee,12/14/2017,supreme-Gonz-Tee-black,126
Fire Tee,12/14/2017,supreme-Fire-Tee-black,133
Bookends (Set of 2),12/14/2017,supreme-Bookends-(Set-of-2)-black,Bad search
Fuck Wool Scarf,12/14/2017,supreme-Fuck-Wool-Scarf-black,93
Christmas Tee,12/14/2017,supreme-Christmas-Tee-black,Bad search
Horror Tee,12/14/2017,supreme-Horror-Tee-black,128
Dog Shit Tee,12/14/2017,supreme-Dog-Shit-Tee-black,73
