name,release date,stockx search,search quality
FTW Tee,2/15/2018,supreme-FTW-Tee-black,124
Cards Tee,2/15/2018,supreme-Cards-Tee-black,91
Chicken Dinner Tee,2/15/2018,supreme-Chicken-Dinner-Tee-black,117
Necklace Tee,2/15/2018,supreme-Necklace-Tee-black,153
Jellyfish Tee,2/15/2018,supreme-Jellyfish-Tee-black,98
Prodigy Tee,2/15/2018,supreme-Prodigy-Tee-black,58
Molotov Tee,2/15/2018,supreme-Molotov-Tee-black,59
Chair Tee,2/15/2018,supreme-Chair-Tee-black,55
Chart Tee,2/15/2018,supreme-Chart-Tee-black,85
Ripple L/S Tee,2/15/2018,supreme-Ripple-ls-Tee-black,95
FTW Tee,2/22/2018,supreme-FTW-Tee-black,124
Cards Tee,2/22/2018,supreme-Cards-Tee-black,91
Chicken Dinner Tee,2/22/2018,supreme-Chicken-Dinner-Tee-black,117
Necklace Tee,2/22/2018,supreme-Necklace-Tee-black,153
Jellyfish Tee,2/22/2018,supreme-Jellyfish-Tee-black,98
Prodigy Tee,2/22/2018,supreme-Prodigy-Tee-black,58
Molotov Tee,2/22/2018,supreme-Molotov-Tee-black,59
Chair Tee,2/22/2018,supreme-Chair-Tee-black,55
Chart Tee,2/22/2018,supreme-Chart-Tee-black,85
Ripple L/S Tee,2/22/2018,supreme-Ripple-ls-Tee-black,95
Supreme®/UNDERCOVER/Public Enemy White House Tee,3/15/2018,supreme--UNDERCOVER-Public-Enemy-White-House-Tee-black,Bad search
Supreme®/UNDERCOVER/Public Enemy Tee,3/15/2018,supreme--UNDERCOVER-Public-Enemy-Tee-black,Bad search
Supreme®/UNDERCOVER/Public Enemy Counterattack L/S Tee,3/15/2018,supreme--UNDERCOVER-Public-Enemy-Counterattack-ls-Tee-black,Bad search
Supreme®/UNDERCOVER/Public Enemy Terrordome Tee,3/15/2018,supreme--UNDERCOVER-Public-Enemy-Terrordome-Tee-black,Bad search
TV Tee,3/29/2018,supreme-TV-Tee-black,172
Diamonds Tee,3/29/2018,supreme-Diamonds-Tee-black,125
Fiorenza Tee,3/29/2018,supreme-Fiorenza-Tee-black,68
Ladybug Tee,3/29/2018,supreme-Ladybug-Tee-black,56
Fuck Face Tee,3/29/2018,supreme-Fuck-Face-Tee-black,73
Nan Goldin/Supreme Kim in Rhinestone Tee,3/29/2018,supreme-Nan-Goldin-Kim-in-Rhinestone-Tee-black,Bad search
Nan Goldin/Supreme Misty and Jimmy Paulette Tee,3/29/2018,supreme-Nan-Goldin-Misty-and-Jimmy-Paulette-Tee-black,Bad search
Nan Goldin/Supreme Nan as a dominatrix Tee,3/29/2018,supreme-Nan-Goldin-Nan-as-a-dominatrix-Tee-black,Bad search
Supreme®/The North Face® Metallic Logo T-Shirt,4/5/2018,supreme--The-North-Face-Metallic-Logo-T-Shirt-black,Bad search
Supreme/Hellraiser Hell on Earth Tee,4/26/2018,supreme--Hellraiser-Hell-on-Earth-Tee-black,Bad search
Supreme/Hellraiser Pinhead Tee,4/26/2018,supreme--Hellraiser-Pinhead-Tee-black,Bad search
Dream Tee,5/31/2018,supreme-Dream-Tee-black,123
Supreme®/Spitfire® Classic Swirl T-Shirt,6/21/2018,supreme--Spitfire-Classic-Swirl-T-Shirt-black,Bad search
Supreme®/Spitfire® Cat T-Shirt,6/21/2018,supreme--Spitfire-Cat-T-Shirt-black,Bad search
Rocks Tee,6/28/2018,supreme-Rocks-Tee-black-ss18,159
Mona Lisa Tee,6/28/2018,supreme-Mona-Lisa-Tee-black-ss18,174
Tentacles Tee,6/28/2018,supreme-Tentacles-Tee-black-ss18,128
Swimmers Tee,6/28/2018,supreme-Swimmers-Tee-black-ss18,82
Ganesha Tee,6/28/2018,supreme-Ganesha-Tee-black-ss18,69
Hardware Tee,6/28/2018,supreme-Hardware-Tee-black-ss18,80
Gonz Logo Tee,6/28/2018,supreme-Gonz-Logo-Tee-black-ss18,59
